"family","shape","seed","config","package","repetition","batch_size","seconds","block_seconds","object_mb","reported_picasso_seconds","path_fitted"
"binomial","wide",74001,"public_default","glmnet",6,4,0.037,0.148,7.14223480224609,NA,45
"binomial","wide",74001,"public_default","picasso",6,2,0.0270000000000001,0.0540000000000003,0.097991943359375,0.0250439643859863,45
"binomial","wide",74001,"public_default","picasso",7,2,0.026,0.052,0.097991943359375,0.0239129066467285,45
"binomial","wide",74001,"public_default","glmnet",7,4,0.03725,0.149,7.14223480224609,NA,45
"binomial","wide",74002,"public_default","picasso",1,2,0.0295,0.0589999999999999,0.103179931640625,0.0264379978179932,45
"binomial","wide",74002,"public_default","glmnet",1,3,0.04,0.12,7.14693450927734,NA,45
"binomial","wide",74002,"public_default","glmnet",2,3,0.0383333333333333,0.115,7.14693450927734,NA,45
"binomial","wide",74002,"public_default","picasso",2,2,0.027,0.054,0.103179931640625,0.0236899852752686,45
"binomial","wide",74002,"public_default","picasso",3,2,0.028,0.056,0.103179931640625,0.0257289409637451,45
"binomial","wide",74002,"public_default","glmnet",3,3,0.0386666666666667,0.116,7.14693450927734,NA,45
"binomial","wide",74002,"public_default","glmnet",4,3,0.0393333333333334,0.118,7.14693450927734,NA,45
"binomial","wide",74002,"public_default","picasso",4,2,0.0274999999999999,0.0549999999999997,0.103179931640625,0.0260071754455566,45
"binomial","wide",74002,"public_default","picasso",5,2,0.0274999999999999,0.0549999999999997,0.103179931640625,0.0241539478302002,45
"binomial","wide",74002,"public_default","glmnet",5,3,0.0393333333333333,0.118,7.14693450927734,NA,45
"binomial","wide",74002,"public_default","glmnet",6,3,0.038,0.114,7.14693450927734,NA,45
"binomial","wide",74002,"public_default","picasso",6,2,0.0275000000000001,0.0550000000000002,0.103179931640625,0.0241780281066895,45
"binomial","wide",74002,"public_default","picasso",7,2,0.0269999999999999,0.0539999999999998,0.103179931640625,0.0246119499206543,45
"binomial","wide",74002,"public_default","glmnet",7,3,0.0383333333333333,0.115,7.14693450927734,NA,45
"binomial","wide",74003,"public_default","picasso",1,2,0.032,0.0640000000000001,0.109779357910156,0.0284249782562256,45
"binomial","wide",74003,"public_default","glmnet",1,4,0.04175,0.167,7.15398406982422,NA,45
"binomial","wide",74003,"public_default","glmnet",2,4,0.039,0.156,7.15398406982422,NA,45
"binomial","wide",74003,"public_default","picasso",2,2,0.0279999999999999,0.0559999999999998,0.109779357910156,0.0260229110717773,45
"binomial","wide",74003,"public_default","picasso",3,2,0.028,0.056,0.109779357910156,0.0259029865264893,45
"binomial","wide",74003,"public_default","glmnet",3,4,0.039,0.156,7.15398406982422,NA,45
"binomial","wide",74003,"public_default","glmnet",4,4,0.039,0.156,7.15398406982422,NA,45
"binomial","wide",74003,"public_default","picasso",4,2,0.0285,0.0569999999999999,0.109779357910156,0.0263521671295166,45
"binomial","wide",74003,"public_default","picasso",5,2,0.0285,0.0569999999999999,0.109779357910156,0.0260651111602783,45
"binomial","wide",74003,"public_default","glmnet",5,4,0.0385,0.154,7.15398406982422,NA,45
"binomial","wide",74003,"public_default","glmnet",6,4,0.03975,0.159,7.15398406982422,NA,45
"binomial","wide",74003,"public_default","picasso",6,2,0.0285,0.0569999999999999,0.109779357910156,0.0261759757995605,45
"binomial","wide",74003,"public_default","picasso",7,2,0.0285,0.0569999999999999,0.109779357910156,0.0263011455535889,45
