"benchmark","case","repetition","position","implementation","elapsed_seconds","batch_elapsed_seconds","inner_iterations","allocated_bytes","checksum","old_source_md5","new_source_md5","native_md5","native_path","r_version","matrix_version","blas","cpu","platform","thread_settings","benchmark_script_md5"
"finalization_kernel","small_d_unstandardized",6,1,"new",0.000122814498933902,0.287999999999999,2345,258144,"26f6fc4c3aea338afc06c1a2017df1f7","2ad4e71da8132eb8065167c6a6b7ac57","210b86a6ef54c501fbfb8d8c15104fa7","aca1284e9a328609975c738a5ab33535","/private/tmp/picasso-refactor-p0-r-check/picasso.Rcheck/picasso/libs/picasso.so","R version 4.5.2 (2025-10-31)","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","Apple M3 Pro","aarch64-apple-darwin20 | Darwin | 25.5.0 | arm64","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>;RCPP_PARALLEL_NUM_THREADS=<unset>","1dae0f9401606e65652336db916eefd7"
"finalization_kernel","small_d_unstandardized",6,2,"old",0.000129637526652452,0.304,2345,335792,"26f6fc4c3aea338afc06c1a2017df1f7","2ad4e71da8132eb8065167c6a6b7ac57","210b86a6ef54c501fbfb8d8c15104fa7","aca1284e9a328609975c738a5ab33535","/private/tmp/picasso-refactor-p0-r-check/picasso.Rcheck/picasso/libs/picasso.so","R version 4.5.2 (2025-10-31)","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","Apple M3 Pro","aarch64-apple-darwin20 | Darwin | 25.5.0 | arm64","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>;RCPP_PARALLEL_NUM_THREADS=<unset>","1dae0f9401606e65652336db916eefd7"
"finalization_kernel","small_d_unstandardized",7,1,"old",0.000147121535181237,0.345000000000001,2345,335792,"26f6fc4c3aea338afc06c1a2017df1f7","2ad4e71da8132eb8065167c6a6b7ac57","210b86a6ef54c501fbfb8d8c15104fa7","aca1284e9a328609975c738a5ab33535","/private/tmp/picasso-refactor-p0-r-check/picasso.Rcheck/picasso/libs/picasso.so","R version 4.5.2 (2025-10-31)","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","Apple M3 Pro","aarch64-apple-darwin20 | Darwin | 25.5.0 | arm64","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>;RCPP_PARALLEL_NUM_THREADS=<unset>","1dae0f9401606e65652336db916eefd7"
"finalization_kernel","small_d_unstandardized",7,2,"new",0.000118976545842217,0.279,2345,258144,"26f6fc4c3aea338afc06c1a2017df1f7","2ad4e71da8132eb8065167c6a6b7ac57","210b86a6ef54c501fbfb8d8c15104fa7","aca1284e9a328609975c738a5ab33535","/private/tmp/picasso-refactor-p0-r-check/picasso.Rcheck/picasso/libs/picasso.so","R version 4.5.2 (2025-10-31)","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","Apple M3 Pro","aarch64-apple-darwin20 | Darwin | 25.5.0 | arm64","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>;RCPP_PARALLEL_NUM_THREADS=<unset>","1dae0f9401606e65652336db916eefd7"
"finalization_kernel","small_d_unstandardized",8,1,"new",0.00013091684434968,0.307,2345,258144,"26f6fc4c3aea338afc06c1a2017df1f7","2ad4e71da8132eb8065167c6a6b7ac57","210b86a6ef54c501fbfb8d8c15104fa7","aca1284e9a328609975c738a5ab33535","/private/tmp/picasso-refactor-p0-r-check/picasso.Rcheck/picasso/libs/picasso.so","R version 4.5.2 (2025-10-31)","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","Apple M3 Pro","aarch64-apple-darwin20 | Darwin | 25.5.0 | arm64","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>;RCPP_PARALLEL_NUM_THREADS=<unset>","1dae0f9401606e65652336db916eefd7"
"finalization_kernel","small_d_unstandardized",8,2,"old",0.000140298507462686,0.328999999999999,2345,335792,"26f6fc4c3aea338afc06c1a2017df1f7","2ad4e71da8132eb8065167c6a6b7ac57","210b86a6ef54c501fbfb8d8c15104fa7","aca1284e9a328609975c738a5ab33535","/private/tmp/picasso-refactor-p0-r-check/picasso.Rcheck/picasso/libs/picasso.so","R version 4.5.2 (2025-10-31)","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","Apple M3 Pro","aarch64-apple-darwin20 | Darwin | 25.5.0 | arm64","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>;RCPP_PARALLEL_NUM_THREADS=<unset>","1dae0f9401606e65652336db916eefd7"
"finalization_kernel","small_d_unstandardized",9,1,"old",0.000162046908315565,0.380000000000001,2345,335792,"26f6fc4c3aea338afc06c1a2017df1f7","2ad4e71da8132eb8065167c6a6b7ac57","210b86a6ef54c501fbfb8d8c15104fa7","aca1284e9a328609975c738a5ab33535","/private/tmp/picasso-refactor-p0-r-check/picasso.Rcheck/picasso/libs/picasso.so","R version 4.5.2 (2025-10-31)","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","Apple M3 Pro","aarch64-apple-darwin20 | Darwin | 25.5.0 | arm64","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>;RCPP_PARALLEL_NUM_THREADS=<unset>","1dae0f9401606e65652336db916eefd7"
"finalization_kernel","small_d_unstandardized",9,2,"new",0.000111300639658849,0.261000000000001,2345,258144,"26f6fc4c3aea338afc06c1a2017df1f7","2ad4e71da8132eb8065167c6a6b7ac57","210b86a6ef54c501fbfb8d8c15104fa7","aca1284e9a328609975c738a5ab33535","/private/tmp/picasso-refactor-p0-r-check/picasso.Rcheck/picasso/libs/picasso.so","R version 4.5.2 (2025-10-31)","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","Apple M3 Pro","aarch64-apple-darwin20 | Darwin | 25.5.0 | arm64","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>;RCPP_PARALLEL_NUM_THREADS=<unset>","1dae0f9401606e65652336db916eefd7"
"finalization_kernel","small_d_standardized",1,1,"old",0.000178023032629559,0.371,2084,438288,"f3e5168145b11f9aaf28a8b1309ad218","2ad4e71da8132eb8065167c6a6b7ac57","210b86a6ef54c501fbfb8d8c15104fa7","aca1284e9a328609975c738a5ab33535","/private/tmp/picasso-refactor-p0-r-check/picasso.Rcheck/picasso/libs/picasso.so","R version 4.5.2 (2025-10-31)","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","Apple M3 Pro","aarch64-apple-darwin20 | Darwin | 25.5.0 | arm64","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>;RCPP_PARALLEL_NUM_THREADS=<unset>","1dae0f9401606e65652336db916eefd7"
"finalization_kernel","small_d_standardized",1,2,"new",0.000140595009596929,0.293000000000001,2084,309392,"f3e5168145b11f9aaf28a8b1309ad218","2ad4e71da8132eb8065167c6a6b7ac57","210b86a6ef54c501fbfb8d8c15104fa7","aca1284e9a328609975c738a5ab33535","/private/tmp/picasso-refactor-p0-r-check/picasso.Rcheck/picasso/libs/picasso.so","R version 4.5.2 (2025-10-31)","1.7.4","/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib","Apple M3 Pro","aarch64-apple-darwin20 | Darwin | 25.5.0 | arm64","OMP_NUM_THREADS=<unset>;OPENBLAS_NUM_THREADS=<unset>;MKL_NUM_THREADS=<unset>;VECLIB_MAXIMUM_THREADS=<unset>;BLIS_NUM_THREADS=<unset>;RCPP_PARALLEL_NUM_THREADS=<unset>","1dae0f9401606e65652336db916eefd7"
